mismatch_seed,pvt,candidate_job_id,baseline_job_id,match_band,match_bin,match_fin_hz,match_input_vpp_diff,match_maxstep_ns,match_method_id,match_mismatch_checksum,match_mismatch_seed,match_nfft,match_noise_full_checksum,match_noise_mode,match_noise_prefix_checksum_0_63,match_noise_seed,match_phase_rad,match_pvt,match_retained_frame_end,match_retained_frame_start,match_steady_state_method_id,match_total_frames,match_warmup_frames,pass
80,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S080_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S080_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
128,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S128_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S128_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
189,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S189_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S189_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
116,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S116_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S116_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
190,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S190_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S190_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
45,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S045_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S045_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
188,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S188_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S188_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
142,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S142_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S142_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
53,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S053_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S053_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
132,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S132_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S132_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,FF_3P6_M40C,PVT3_FF_3P6_M40C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S096_LOW_W4,PVT3_FF_3P6_M40C_CMP_IN_A2P25_W_T1P000_S096_LOW_W4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
